CUSTOMER_SEGMENT,unique_customers,total_transactions,total_sales,avg_transaction_value,total_quantity,avg_quantity,avg_price_per_unit,transactions_per_customer,sales_per_customer,quantity_per_customer
OLDER FAMILIES_Budget,4669,23104,167213.95,7.24,44816,1.94,3.73,4.95,35.81,9.6
YOUNG SINGLES/COUPLES_Mainstream,8076,20816,156882.0,7.54,38468,1.85,4.07,2.58,19.43,4.76
RETIREES_Mainstream,6478,21433,155033.45,7.23,40370,1.88,3.83,3.31,23.93,6.23
YOUNG FAMILIES_Budget,4015,19072,138388.2,7.26,36888,1.93,3.75,4.75,34.47,9.19
OLDER SINGLES/COUPLES_Budget,4925,18361,135858.9,7.4,35022,1.91,3.88,3.73,27.59,7.11
OLDER SINGLES/COUPLES_Mainstream,4925,18280,132618.3,7.25,34830,1.91,3.8,3.71,26.93,7.07
OLDER SINGLES/COUPLES_Premium,4750,17716,131487.95,7.42,33818,1.91,3.89,3.73,27.68,7.12
RETIREES_Budget,4451,15164,112415.7,7.41,28606,1.89,3.92,3.41,25.26,6.43
OLDER FAMILIES_Mainstream,2831,14204,102668.8,7.23,27576,1.94,3.73,5.02,36.27,9.74
RETIREES_Premium,3871,13071,97118.5,7.43,24770,1.9,3.92,3.38,25.09,6.4
YOUNG FAMILIES_Mainstream,2726,12873,92154.75,7.16,24896,1.93,3.71,4.72,33.81,9.13
MIDAGE SINGLES/COUPLES_Mainstream,3336,11843,90178.2,7.61,22561,1.91,4.0,3.55,27.03,6.76
YOUNG FAMILIES_Premium,2432,11539,83553.9,7.24,22293,1.93,3.75,4.74,34.36,9.17
OLDER FAMILIES_Premium,2272,11158,80062.5,7.18,21626,1.94,3.7,4.91,35.24,9.52
YOUNG SINGLES/COUPLES_Budget,3776,9231,60937.6,6.6,16621,1.8,3.64,2.44,16.14,4.4
MIDAGE SINGLES/COUPLES_Premium,2431,8199,58095.55,7.09,15449,1.88,3.75,3.37,23.9,6.35
YOUNG SINGLES/COUPLES_Premium,2573,6274,41520.4,6.62,11299,1.8,3.65,2.44,16.14,4.39
MIDAGE SINGLES/COUPLES_Budget,1502,5009,35309.2,7.05,9445,1.89,3.73,3.33,23.51,6.29
NEW FAMILIES_Budget,1112,3002,21862.25,7.28,5558,1.85,3.92,2.7,19.66,5.0
NEW FAMILIES_Mainstream,849,2321,16940.35,7.3,4301,1.85,3.92,2.73,19.95,5.07
NEW FAMILIES_Premium,588,1587,11450.5,7.22,2948,1.86,3.87,2.7,19.47,5.01
